year,year_rank,group_name,artist,song_name,id
1987,47,Genesis,Genesis,In Too Deep,3235
1987,48,Janet Jackson,Janet Jackson,Let's Wait Awhile,3236
1987,49,Huey Lewis and The News,Huey Lewis and The News,Hip To Be Square,3237
1987,50,Chicago,Chicago,Will You Still Love Me?,3238
1987,51,Fleetwood Mac,Fleetwood Mac,Little Lies,3239
1987,52,Suzanne Vega,Suzanne Vega,Luka,3240
1987,53,Bananarama,Bananarama,I Heard A Rumour,3241
1987,54,Richard Marx,Richard Marx,Don't Mean Nothing,3242
1987,55,Kenny G,Kenny G,Songbird,3243
1987,56,Europe,Europe,Carrie,3244
1987,57,System,System,Don't Disturb This Groove,3245
1987,58,Madonna,Madonna,La Isla Bonita,3246
1987,59,Michael Jackson,Michael Jackson,Bad,3247
1987,60,Prince,Prince,Sign 'O' The Times,3248
1987,61,Cyndi Lauper,Cyndi Lauper,Change Of Heart,3249
1987,62,Expose,Expose,Come Go With Me,3250
1987,63,Dan Hill,Dan Hill,Can't We Try,3251
1987,64,Billy Idol,Billy Idol,To Be A Lover,3252
1987,65,Bruce Hornsby and The Range,Bruce Hornsby and The Range,Mandolin Rain,3253
1987,66,Swing Out Sister,Swing Out Sister,Breakout,3254
1987,67,Ben E. King,Ben E. King,Stand By Me,3255
1987,68,Genesis,Genesis,"Tonight, Tonight, Tonight",3256
1987,69,Glass Tiger,Glass Tiger,Someday,3257
1987,70,ABC,ABC,When Smokey Sings,3258
1987,71,Levert,Levert,Casanova,3259
1987,72,Gloria Estefan and Miami Sound Machine,Gloria Estefan,Rhythm Is Gonna Get You,3260
1987,72,Gloria Estefan and Miami Sound Machine,Miami Sound Machine,Rhythm Is Gonna Get You,3261
1987,73,Whispers,Whispers,Rock Steady,3262
1987,74,Bon Jovi,Bon Jovi,Wanted Dead Or Alive,3263
1987,75,Peter Gabriel,Peter Gabriel,Big Time,3264
1987,76,Steve Winwood,Steve Winwood,The Finer Things,3265
1987,77,Expose,Expose,Let Me Be The One,3266
1987,78,Survivor,Survivor,Is This Love,3267
1987,79,Herb Alpert,Herb Alpert,Diamonds,3268
1987,80,Expose,Expose,Point Of No Return,3269
1987,81,Fleetwood Mac,Fleetwood Mac,Big Love,3270
1987,82,Lou Gramm,Lou Gramm,Midnight Blue,3271
1987,83,Crowded House,Crowded House,Something So Strong,3272
1987,84,Bryan Adams,Bryan Adams,Heat Of The Night,3273
1987,85,Glenn Medeiros,Glenn Medeiros,Nothing's Gonna Change My Love For You,3274
1987,86,Bruce Springsteen,Bruce Springsteen,Brilliant Disguise,3275
1987,87,Smokey Robinson,Smokey Robinson,Just To See Her,3276
1987,88,Heart,Heart,Who Will You Run Too,3277
1987,89,Bruce Willis,Bruce Willis,Respect Yourself,3278
1987,90,Jets,Jets,Cross My Broken Heart,3279
1987,91,Kool and The Gang,Kool and The Gang,Victory,3280
1987,92,Pretenders,Pretenders,Don't Get Me Wrong,3281
1987,93,Huey Lewis and The News,Huey Lewis and The News,Doing It All For My Baby,3282
